id,pred_class
1438,2
1830,3
853,3
586,2
1531,2
1206,5
1649,2
379,5
1034,2
1755,1
1806,2
498,4
1413,5
1935,5
188,1
1028,2
1402,5
1910,5
1380,5
2068,4
431,3
584,2
648,2
1585,3
705,4
1978,3
2034,5
1433,5
1109,3
1019,5
1818,5
1840,3
1036,1
1932,4
1389,3
665,3
1294,2
1884,5
296,5
319,3
912,2
599,3
1276,5
155,4
1183,2
768,3
114,5
262,3
479,5
1853,3
1478,3
1320,5
1419,0
256,4
1980,5
493,5
1954,4
1605,5
2085,5
1835,5
1025,2
1866,5
973,5
549,3
1647,5
250,1
565,3
2071,5
228,4
795,3
394,5
836,3
906,5
687,3
1368,1
1406,5
909,5
1504,5
609,2
1440,3
1444,3
1220,5
1159,5
2058,4
661,4
1168,2
1682,0
255,1
2020,3
658,5
1115,0
669,4
1291,5
386,2
1885,5
322,5
1902,0
1581,0
1855,5
1846,5
310,5
774,2
134,1
90,3
1764,2
769,5
274,5
1466,4
1639,5
1259,2
227,5
751,5
562,3
603,5
2018,5
1432,3
1080,1
1149,5
1222,5
1349,3
1370,1
884,5
746,5
151,2
1574,1
1394,3
993,5
1758,5
792,5
1815,3
2035,3
