seed,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score
9,0.8416833667334669,0.8145375398800285,0.828214028931019,0.8195526100274505,0.846477240048613,0.8416833667334669,0.8420965640965953
8,0.8416833667334669,0.8071799030879194,0.8226316261347396,0.8139810216262463,0.8450339094934284,0.8416833667334669,0.842242370109929
7,0.845691382765531,0.8199184084682404,0.8365298937655423,0.8270323170621261,0.8489914707385484,0.845691382765531,0.8458778008572563
6,0.8557114228456913,0.8279611665073924,0.8456496730491425,0.8345875225570513,0.8594568075804033,0.8557114228456913,0.8560978093220318
5,0.845691382765531,0.8161177610655319,0.8292560583518983,0.8215422073167248,0.8486091603928302,0.845691382765531,0.8462191757391269
4,0.8476953907815631,0.8361064513166555,0.8391322434499874,0.8353151668062806,0.8531707375873763,0.8476953907815631,0.8481666153257202
3,0.845691382765531,0.821482948517452,0.8297910881164892,0.8231915649883599,0.8498576361491251,0.845691382765531,0.8455281873921447
2,0.8376753507014028,0.8094816117452408,0.8171851486962893,0.8111120626275722,0.842787576856761,0.8376753507014028,0.838202346099506
1,0.8396793587174348,0.8065227988685152,0.820938008967808,0.8122344456848934,0.843710270782139,0.8396793587174348,0.8403204537952178
0,0.845691382765531,0.8153584578385525,0.8291108705889455,0.8207624368242907,0.8495601927165418,0.845691382765531,0.8459684589318229
